State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Peda Rabha,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Peda Rabha,2,9,1,1,5,6,0,4,8,10,2,0,0,0,12,12,0,10,2,4,8,9,3,12,0,0,12,12,0
Pedabidda,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Pedabidda,2,3,0,2,3,0,0,0,5,0,3,2,0,0,5,4,1,5,0,0,3,5,0,5,0,0,5,5,0
Pedagangavaram,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Pedagangavaram,0,2,8,2,4,4,0,1,9,2,8,0,0,0,10,9,1,8,1,3,6,4,5,9,0,2,8,8,1
Pedakota,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Pedakota,0,8,0,0,0,8,0,5,3,0,8,0,0,0,8,8,0,8,0,4,4,7,1,8,0,0,8,6,2
Pinakota,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Pinakota,0,10,0,0,0,10,0,0,10,0,10,0,0,0,10,10,0,10,0,7,3,8,2,10,0,0,10,10,0
Pulusumamidi,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Pulusumamidi,0,1,1,0,0,2,0,1,1,0,0,2,0,0,2,2,0,2,0,1,1,1,1,2,0,0,2,2,0
R.T.Puram,Alluri Sitharama Raju,ANANTHAGIRI - 5584,R.T.Puram,0,8,0,0,0,8,0,8,0,0,0,8,0,0,8,8,0,8,0,1,7,1,7,8,0,0,8,8,0
Rampalle,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Rampalle,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Rayipadu,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Rayipadu,0,1,2,0,1,2,0,3,0,0,1,2,0,0,3,3,0,3,0,3,0,2,1,3,0,1,2,3,0
Regam,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Regam,0,4,0,0,0,4,0,0,4,0,4,0,0,0,4,4,0,4,0,0,4,3,1,4,0,0,4,4,0
Regulapalem,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Regulapalem,0,15,3,2,2,14,0,13,5,3,9,5,0,0,18,18,0,17,1,1,17,12,6,18,0,0,18,18,0
Revallapalem,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Revallapalem,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Samareddipalem,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Samareddipalem,0,3,0,0,0,3,0,3,0,0,2,1,0,0,3,3,0,3,0,2,1,1,2,2,1,0,3,3,0
Sankuparti,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Sankuparti,0,5,0,0,0,5,0,0,5,0,0,5,0,0,5,5,0,5,0,1,4,1,4,5,0,1,4,5,0
Saravani Palem,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Saravani Palem,0,1,4,0,1,4,0,2,3,1,3,1,0,0,5,5,0,5,0,0,5,0,5,5,0,0,5,3,2
Seetampeta,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Seetampeta,0,4,2,0,6,0,0,4,2,1,4,1,0,0,6,6,0,6,0,0,6,2,4,5,1,1,5,1,5
Singarbha,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Singarbha,0,5,1,0,0,6,0,1,5,3,3,0,0,0,6,6,0,6,0,1,5,4,2,6,0,0,6,6,0
Sorasapodaru,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Sorasapodaru,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1
Sottadivalasa,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Sottadivalasa,0,3,4,0,3,4,0,4,3,2,5,0,0,0,7,7,0,7,0,4,3,5,2,7,0,0,7,7,0
Tadiguda,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Tadiguda,0,1,2,0,0,3,0,0,3,2,1,0,0,0,3,3,0,3,0,1,2,3,0,3,0,0,3,3,0
Tamuta,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Tamuta,0,3,0,0,0,3,0,0,3,0,3,0,0,0,3,3,0,3,0,0,3,2,1,3,0,0,3,3,0
Tattavalasa,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Tattavalasa,0,5,0,2,1,2,0,2,3,1,3,1,0,0,5,5,0,5,0,0,5,0,5,5,0,0,5,5,0
Tenteliguda,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Tenteliguda,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,3,0,3,0,0,3,0,3,3,0,0,3,3,0
Tummanuvalasa,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Tummanuvalasa,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Valasi,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Valasi,0,7,3,0,4,6,0,10,0,0,5,5,0,0,10,10,0,10,0,9,1,5,4,9,1,1,9,10,0
Vanjalavalasa,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Vanjalavalasa,0,5,0,0,0,5,0,0,5,4,1,0,0,0,5,5,0,5,0,0,5,4,1,5,0,0,5,5,0
Vanthalamamidi,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Vanthalamamidi,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
Varakavadu,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Varakavadu,0,11,1,0,2,10,0,10,2,0,5,7,0,0,12,12,0,12,0,3,9,12,0,12,0,4,8,12,0
Velagalapadu,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Velagalapadu,0,2,0,0,0,2,0,0,2,0,2,0,0,0,2,2,0,2,0,1,1,2,0,2,0,0,2,2,0
Y.S.R.Puram,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Y.S.R.Puram,0,13,17,6,5,19,1,10,19,0,13,17,0,0,30,30,0,30,0,1,29,15,15,30,0,0,30,30,0
